seed,alpha,beta,supply_ratio,num_tasks,num_volunteers,total_demand,completed_tasks,completed_urgency,completion_rate,urgency_weighted_completion,total_distance_km,distance_per_completed_task,distance_per_completed_urgency
0,0.5,1.0,1.0,10,20,20,5,24,0.5,0.631578947368421,5.2491520604015145,1.0498304120803028,0.21871466918339644
0,1.0,1.0,1.0,10,20,20,7,31,0.7,0.8157894736842105,9.49197654508699,1.3559966492981415,0.30619279177699965
0,2.0,1.0,1.0,10,20,20,8,35,0.8,0.9210526315789473,14.131839391681169,1.766479923960146,0.4037668397623191
0,5.0,1.0,1.0,10,20,20,10,38,1.0,1.0,22.4476816594389,2.24476816594389,0.5907284647220763
0,10.0,1.0,1.0,10,20,20,10,38,1.0,1.0,22.4476816594389,2.24476816594389,0.5907284647220763
0,20.0,1.0,1.0,10,20,20,10,38,1.0,1.0,22.4476816594389,2.24476816594389,0.5907284647220763
0,50.0,1.0,1.0,10,20,20,10,38,1.0,1.0,22.4476816594389,2.24476816594389,0.5907284647220763
1,0.5,1.0,1.0,10,19,19,5,22,0.5,0.6470588235294118,2.887970409067845,0.577594081813569,0.1312713822303566
1,1.0,1.0,1.0,10,19,19,7,28,0.7,0.8235294117647058,8.435732640275186,1.205104662896455,0.30127616572411375
1,2.0,1.0,1.0,10,19,19,9,33,0.9,0.9705882352941176,14.565027973985977,1.6183364415539974,0.44136448406018114
1,5.0,1.0,1.0,10,19,19,10,34,1.0,1.0,17.564979974057177,1.7564979974057178,0.5166170580605052
1,10.0,1.0,1.0,10,19,19,10,34,1.0,1.0,17.564979974057177,1.7564979974057178,0.5166170580605052
1,20.0,1.0,1.0,10,19,19,10,34,1.0,1.0,17.564979974057177,1.7564979974057178,0.5166170580605052
1,50.0,1.0,1.0,10,19,19,10,34,1.0,1.0,17.564979974057177,1.7564979974057178,0.5166170580605052
2,0.5,1.0,1.0,10,24,24,4,18,0.4,0.5454545454545454,3.8413653616674246,0.9603413404168561,0.21340918675930137
2,1.0,1.0,1.0,10,24,24,6,25,0.6,0.7575757575757576,9.27526536675103,1.5458775611251718,0.3710106146700412
2,2.0,1.0,1.0,10,24,24,8,31,0.8,0.9393939393939394,16.552260619489914,2.0690325774362393,0.5339438909512876
2,5.0,1.0,1.0,10,24,24,10,33,1.0,1.0,23.083354990647543,2.3083354990647544,0.6994956057771983
2,10.0,1.0,1.0,10,24,24,10,33,1.0,1.0,23.083354990647543,2.3083354990647544,0.6994956057771983
2,20.0,1.0,1.0,10,24,24,10,33,1.0,1.0,23.083354990647543,2.3083354990647544,0.6994956057771983
2,50.0,1.0,1.0,10,24,24,10,33,1.0,1.0,23.083354990647543,2.3083354990647544,0.6994956057771983
3,0.5,1.0,1.0,10,19,19,6,24,0.6,0.7058823529411765,6.819398651993341,1.1365664419988901,0.28414161049972253
3,1.0,1.0,1.0,10,19,19,7,27,0.7,0.7941176470588235,8.929406505747833,1.275629500821119,0.33071875947214197
3,2.0,1.0,1.0,10,19,19,9,33,0.9,0.9705882352941176,16.288524878939636,1.8098360976599597,0.4935916629981708
3,5.0,1.0,1.0,10,19,19,10,34,1.0,1.0,20.848932158305647,2.0848932158305646,0.6132038870089896
3,10.0,1.0,1.0,10,19,19,10,34,1.0,1.0,20.848932158305647,2.0848932158305646,0.6132038870089896
3,20.0,1.0,1.0,10,19,19,10,34,1.0,1.0,20.848932158305647,2.0848932158305646,0.6132038870089896
3,50.0,1.0,1.0,10,19,19,10,34,1.0,1.0,20.848932158305647,2.0848932158305646,0.6132038870089896
4,0.5,1.0,1.0,10,16,16,4,17,0.4,0.5666666666666667,5.4182042320469685,1.3545510580117421,0.31871789600276285
4,1.0,1.0,1.0,10,16,16,7,27,0.7,0.9,12.12065480457341,1.7315221149390587,0.4489131409101263
4,2.0,1.0,1.0,10,16,16,7,27,0.7,0.9,12.12065480457341,1.7315221149390587,0.4489131409101263
4,5.0,1.0,1.0,10,16,16,8,28,0.8,0.9333333333333333,15.030372811592375,1.878796601449047,0.536799028985442
4,10.0,1.0,1.0,10,16,16,8,28,0.8,0.9333333333333333,15.030372811592375,1.878796601449047,0.536799028985442
4,20.0,1.0,1.0,10,16,16,8,28,0.8,0.9333333333333333,15.030372811592375,1.878796601449047,0.536799028985442
4,50.0,1.0,1.0,10,16,16,8,28,0.8,0.9333333333333333,15.030372811592375,1.878796601449047,0.536799028985442
5,0.5,1.0,1.0,10,14,14,4,12,0.4,0.5217391304347826,2.4328809945544214,0.6082202486386054,0.20274008287953513
5,1.0,1.0,1.0,10,14,14,5,16,0.5,0.6956521739130435,5.553072096049977,1.1106144192099954,0.34706700600312357
5,2.0,1.0,1.0,10,14,14,7,19,0.7,0.8260869565217391,8.990906383335107,1.284415197619301,0.47320559912290033
5,5.0,1.0,1.0,10,14,14,9,22,0.9,0.9565217391304348,17.43734335721149,1.937482595245721,0.7926065162368858
5,10.0,1.0,1.0,10,14,14,10,23,1.0,1.0,24.511985361946863,2.451198536194686,1.0657384939976897
5,20.0,1.0,1.0,10,14,14,10,23,1.0,1.0,24.511985361946863,2.451198536194686,1.0657384939976897
5,50.0,1.0,1.0,10,14,14,10,23,1.0,1.0,24.511985361946863,2.451198536194686,1.0657384939976897
6,0.5,1.0,1.0,10,18,18,6,25,0.6,0.78125,7.031102752064293,1.1718504586773821,0.2812441100825717
6,1.0,1.0,1.0,10,18,18,8,29,0.8,0.90625,9.965025792674911,1.245628224084364,0.3436215790577556
6,2.0,1.0,1.0,10,18,18,9,30,0.9,0.9375,11.699363478546017,1.299929275394002,0.38997878261820057
6,5.0,1.0,1.0,10,18,18,10,32,1.0,1.0,18.988717595559557,1.8988717595559557,0.5933974248612361
6,10.0,1.0,1.0,10,18,18,10,32,1.0,1.0,18.988717595559557,1.8988717595559557,0.5933974248612361
6,20.0,1.0,1.0,10,18,18,10,32,1.0,1.0,18.988717595559557,1.8988717595559557,0.5933974248612361
6,50.0,1.0,1.0,10,18,18,10,32,1.0,1.0,18.988717595559557,1.8988717595559557,0.5933974248612361
7,0.5,1.0,1.0,10,16,16,4,13,0.4,0.5909090909090909,4.166634021811938,1.0416585054529846,0.32051030937014907
7,1.0,1.0,1.0,10,16,16,6,17,0.6,0.7727272727272727,7.3680988786190955,1.2280164797698492,0.4334175810952409
7,2.0,1.0,1.0,10,16,16,7,19,0.7,0.8636363636363636,9.844208146907771,1.406315449558253,0.5181162182583038
7,5.0,1.0,1.0,10,16,16,8,20,0.8,0.9090909090909091,12.81341195627415,1.6016764945342687,0.6406705978137075
7,10.0,1.0,1.0,10,16,16,10,22,1.0,1.0,25.81168101893971,2.581168101893971,1.173258228133623
7,20.0,1.0,1.0,10,16,16,10,22,1.0,1.0,25.81168101893971,2.581168101893971,1.173258228133623
7,50.0,1.0,1.0,10,16,16,10,22,1.0,1.0,25.81168101893971,2.581168101893971,1.173258228133623
8,0.5,1.0,1.0,10,24,24,5,19,0.5,0.6785714285714286,5.665514349797047,1.1331028699594095,0.29818496577879194
8,1.0,1.0,1.0,10,24,24,6,22,0.6,0.7857142857142857,8.597586676438791,1.4329311127397986,0.3907993943835814
